,correlation_with_premature_mortality
poor_physical_health_rate,0.7864165736755376
poor_mental_health_rate,0.7752050612972873
physical_inactivity_rate,0.7443834671341992
smoking_rate,0.7418938625770936
insufficient_sleep_rate,0.6381948954631758
obesity_rate,0.6129242154802871
uninsured_rate,0.32600678773476666
